'COA','Fiscal Year','Index','Fund','Organization','Account','Program','Activity','Location','Period','Commit Type',,,,
U,24,W70120,820120,910010,,600,,,,,,,,
'Account','Organization','Program','Activity Date','Type','Document','Description','Commit Type','Fund',ActivitW','Location','Transaction Date','Field','Amount','Increase (+) or Decrease (-)'
710000,910010,600,7/28/2023 11:40,BD03,FZ052350,Budget Adjustment (+/-),U,970120,WDA003,,7/27/2023 23:59,OBD,5000,+
710000,910010,600,7/28/2023 11:40,BD03,FZ052350,Budget Adjustment (+/-),U,970120,WDA004,,7/27/2023 23:59,OBD,12500,+
710000,910010,600,7/28/2023 11:40,BD03,FZ052350,Budget Adjustment (+/-),U,970120,WDA002,,7/27/2023 23:59,OBD,45545,+
710000,910010,600,7/28/2023 11:40,BD03,FZ052350,Budget Adjustment (+/-),U,970120,WDA001,,7/27/2023 23:59,OBD,57800,+
710000,910010,600,7/28/2023 11:40,BD03,FZ052350,Budget Adjustment (+/-),U,970120,,,7/27/2023 23:59,OBD,75456,+
720514,910010,600,9/19/2023 22:03,POBC,*0132784,Batch Close PO P0901731,U,970120,WDA003,,9/19/2023 0:00,ENC,0,-
720514,910010,600,9/19/2023 12:14,INEI,I0730523,iWave Information Systems,U,970120,WDA003,,9/19/2023 12:06,ENC,-4445,-
720514,910010,600,9/19/2023 12:14,INEI,I0730523,iWave Information Systems,U,970120,WDA003,,9/19/2023 12:06,YTD,4445,+
720514,910010,600,8/9/2023 8:40,PORD,P0901731,iWave Information Systems,U,970120,WDA003,,8/9/2023 8:38,ENC,4445,+
720515,910010,600,2/7/2024 11:06,INEI,I0742779,LexisNexis,U,970120,,,2/7/2024 10:57,ENC,-1970,-
720515,910010,600,2/7/2024 11:06,INEI,I0742779,LexisNexis,U,970120,,,2/7/2024 10:57,YTD,1970,+
720515,910010,600,1/11/2024 11:14,INEI,I0740535,LexisNexis,U,970120,,,1/11/2024 11:05,ENC,-1970,-
720515,910010,600,1/11/2024 11:14,INEI,I0740535,LexisNexis,U,970120,,,1/11/2024 11:05,YTD,1970,+
720515,910010,600,1/5/2024 12:49,INEI,I0740011,LexisNexis,U,970120,,,1/5/2024 12:42,ENC,-1970,-
720515,910010,600,1/5/2024 12:49,INEI,I0740011,LexisNexis,U,970120,,,1/5/2024 12:42,YTD,1970,+
720515,910010,600,11/29/2023 11:14,INEI,I0736943,LexisNexis,U,970120,,,11/29/2023 11:05,ENC,-1970,-
720515,910010,600,11/29/2023 11:14,INEI,I0736943,LexisNexis,U,970120,,,11/29/2023 11:05,YTD,1970,+
720515,910010,600,10/19/2023 22:02,POBC,*0133570,Batch Close PO P0904286,U,970120,,,10/19/2023 0:00,ENC,0,-
720515,910010,600,10/19/2023 9:23,INEI,I0733634,Evertrue Inc,U,970120,,,10/19/2023 9:15,ENC,-18000,-
720515,910010,600,10/19/2023 9:23,INEI,I0733634,Evertrue Inc,U,970120,,,10/19/2023 9:15,YTD,18000,+
720515,910010,600,10/18/2023 22:03,POBC,*0133537,Batch Close PO P0904217,U,970120,,,10/18/2023 0:00,ENC,-18000,-
720515,910010,600,10/18/2023 10:41,PORD,P0904286,Evertrue Inc,U,970120,,,10/18/2023 10:40,ENC,18000,+
720515,910010,600,10/17/2023 9:39,PORD,P0904217,ThankView LLC,U,970120,,,10/17/2023 9:37,ENC,18000,+
720515,910010,600,10/5/2023 11:36,INEI,I0731774,LexisNexis,U,970120,,,10/2/2023 23:59,ENC,-1970,-
720515,910010,600,10/5/2023 11:36,INEI,I0731774,LexisNexis,U,970120,,,10/2/2023 23:59,YTD,1970,+
720515,910010,600,10/2/2023 12:57,INEI,I0730515,LexisNexis,U,970120,,,9/19/2023 23:59,ENC,-1970,-
720515,910010,600,10/2/2023 12:57,INEI,I0730515,LexisNexis,U,970120,,,9/19/2023 23:59,YTD,1970,+
720515,910010,600,9/7/2023 11:23,INEI,I0729671,LexisNexis,U,970120,,,9/7/2023 11:14,ENC,-1970,-
720515,910010,600,9/7/2023 11:23,INEI,I0729671,LexisNexis,U,970120,,,9/7/2023 11:14,YTD,1970,+
720515,910010,600,9/6/2023 22:02,JEPC,FZ052768,4645 07/31/23 WWW.DIPJAR.COM,U,970120,WDA002,,9/6/2023 22:01,YTD,745,+
720515,910010,600,9/5/2023 22:02,POBC,*0132478,Batch Close PO P0901378,U,970120,,,9/5/2023 0:00,ENC,0,-
720515,910010,600,9/5/2023 22:02,POBC,*0132478,Batch Close PO P0901378,U,970120,,,9/5/2023 0:00,ENC,0,-
720515,910010,600,9/5/2023 9:53,INEI,I0727303,Blue Hill Capital Partners LLC,U,970120,,,8/10/2023 23:59,ENC,-7310,-
720515,910010,600,9/5/2023 9:53,INEI,I0727303,Blue Hill Capital Partners LLC,U,970120,,,8/10/2023 23:59,ENC,-5695,-
720515,910010,600,9/5/2023 9:53,INEI,I0727303,Blue Hill Capital Partners LLC,U,970120,,,8/10/2023 23:59,YTD,5695,+
720515,910010,600,9/5/2023 9:53,INEI,I0727303,Blue Hill Capital Partners LLC,U,970120,,,8/10/2023 23:59,YTD,7310,+
